trial,wf_score,donchian_lookback,volume_lookback,volume_mult,atr_stop_mult,atr_tp_mult,min_holding_bars,max_holding_bars,trend_sma_period,volatility_min,volatility_max,use_trend_filter,allow_long,allow_short,wf_rank,validation_total_trades,validation_win_rate,validation_profit_factor,validation_sharpe_ratio,validation_sortino_ratio,validation_calmar_ratio,validation_total_return_pct,validation_max_drawdown_pct,validation_max_drawdown_r,validation_avg_drawdown_r,validation_expectancy,validation_expectancy_r,validation_avg_win,validation_avg_loss,validation_avg_win_r,validation_avg_loss_r,validation_avg_r_multiple,validation_payoff_ratio,validation_trades_per_day,validation_avg_holding_bars,validation_max_consecutive_losses,validation_exposure_pct,validation_total_fees,validation_total_slippage
214,-999999,120,5,1.4356942660541774,1.291269902991639,8.583322530413705,3,24,300,0.001,0.12,True,True,False,44,5,0.2,1.3549498551794896,0.9276360674344032,0.0,0.3459000788922106,1.457290321670691,2.970099999999998,3.0,1.75,291.45806433413827,0.3238208915047839,5562.91341294868,-1026.4057728194973,5.619104457523919,-1.0,0.3238208915047839,5.4197994207179585,0.009671179883945842,5,3,0.055984555984555984,218.84734429456708,441.05543269345895
594,-999995,40,20,2.410615100351733,2.304234369235557,1.6030191603670043,1,36,100,0.0,0.2,False,True,True,12,4,0.75,1.7072008573044801,1.7435139628500145,0.0,0.5019465972004675,0.71122989205872,0.9999999999999938,1.0,0.7103162814384404,177.80747301467775,0.17966267263437394,572.309016560121,-1005.6971576216519,0.5728835635124986,-1.0,0.17966267263437394,0.5690669524348267,0.007736943907156673,4,1,0.032818532818532815,92.92074794472477,189.0137593290542
242,-999998,12,150,1.6354457806391909,2.313970107920598,3.9563728193106606,2,24,200,0.0005,0.2,True,True,False,27,8,0.5,1.4582279121813182,1.7979414016009918,1.721377654029118,0.6067661663963947,1.713405641062287,1.9899999999999938,2.0,1.0337563692953662,214.17570513278594,0.21928104173653207,1363.1513185175065,-934.7999082519347,1.3619141828074222,-0.9233520993343579,0.21928104173653207,1.4582279121813182,0.015473887814313346,9,2,0.14285714285714285,202.26475207280393,408.37014109401144
143,-999987,55,20,0.8805605011819255,0.8599158539420985,4.943367463075836,5,72,200,0.0005,0.2,True,True,False,2,10,0.2,1.09769901172051,0.5028652221083612,39389241842088.51,0.18834580533918868,0.7927407546967589,2.970099999999998,3.0,1.875,79.2740754696739,0.10278447212993651,4453.426537571114,-1014.2640400556861,4.5139223606496826,-1.0,0.10278447212993651,4.39079604688204,0.019342359767891684,14,3,0.27606177606177607,599.5424026338053,1201.8797482338812
146,-999995,10,100,0.8739042390434477,2.255774318986193,3.7771006227707167,3,48,400,0.0005,0.12,False,True,False,10,8,0.5,1.102516281623941,0.4961571673069136,0.0,0.14749344648949894,0.4157102064218198,1.9900000000000024,2.0,1.3758856894231848,51.96377580272787,0.05827909905086902,1117.6938525203827,-1013.766300914927,1.116558198101738,-1.0,0.05827909905086902,1.102516281623941,0.015473887814313346,11,2,0.1833976833976834,212.01312265078263,425.2859039966456
52,-999998,40,30,2.3329159284018837,2.533781221455986,2.5932342808887023,3,24,600,0.0,0.12,False,True,True,23,2,0.5,0.8768178040901272,-0.29244064121548313,0.0,-0.08704146072310293,-0.12318219590987428,1.0,1.0,0.5571627252070066,-61.5910979549364,-0.05716272520700655,876.8178040901271,-999.9999999999999,0.8856745495859869,-1.0,-0.05716272520700655,0.8768178040901272,0.0038684719535783366,10,1,0.03861003861003861,41.11566871368997,82.39547179755073
287,-999999,120,75,0.8749518702803597,1.4658390008724962,6.345827037863037,4,36,200,0.002,0.12,False,True,False,48,5,0.2,0.8911625645129471,-0.2931353605250287,-9661953345982.217,-0.10485237833190862,-0.4405228658940759,2.9701000000000097,3.0,1.75,-88.10457317881367,-0.07131154040376833,3607.0078750013467,-1011.8826852238537,3.6434422979811583,-1.0,-0.07131154040376833,3.5646502580517883,0.009671179883945842,8,3,0.07722007722007722,196.3857777005781,392.2838738119058
99,-999998,8,20,1.1406751422978607,3.3651366826356655,2.552651291808837,3,72,50,0.0005,0.05,True,True,True,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
215,-999998,80,20,1.7054380454401386,1.0322438834536856,3.9259284897635083,6,48,600,0.0005,0.2,True,False,True,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
16,-999999,12,20,2.266584227819828,0.5654864055749355,3.6184734941138053,5,48,400,0.0,0.08,False,True,False,35,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
