candidate,kind,symbol,timeframe,train_expectancy_r,train_max_drawdown_r,train_profit_factor,train_score,train_total_trades,window
family_wf_edge_SOLUSDT_4h_20260608_194416,family:channel_breakout,SOLUSDT,4h,0.04652716842955842,2.44516839193629,1.1869488328710447,-3.3550328991249136,24,6
v3_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,-0.14462086217921402,2.5586534278844084,0.7549909193657094,-999989,11,6
v3_edge_BTCUSDT_1h_20260608_191157,v3,BTCUSDT,1h,-0.06980759784535039,4.855061729504803,0.7572431122167301,-29.111276485703634,54,6
v3_edge_BTCUSDT_1h_20260608_191205,v3,BTCUSDT,1h,0.14746755289485525,5.342350517339435,1.323440819907812,10.248660519439802,34,6
v3_edge_BTCUSDT_4h_20260608_191322,v3,BTCUSDT,4h,0.187603503112597,7.610600525970795,1.2522669813371636,7.721661904787945,32,6
v3_edge_BTCUSDT_4h_20260608_191403,v3,BTCUSDT,4h,0.38945572022239877,6.0,1.5305819922760384,42.363211443536755,24,6
v3_edge_BTCUSDT_4h_20260608_191650,v3,BTCUSDT,4h,0.16790279696407295,7.503691507160424,1.1937951434197747,2.471064033083227,32,6
v3_edge_BTCUSDT_4h_20260608_191932,v3,BTCUSDT,4h,-0.13734594562455035,8.53253664780895,0.6491210132929471,-52.34114190777872,52,6
v3_edge_BTCUSDT_4h_20260608_192109,v3,BTCUSDT,4h,0.02539196767330814,5.0,1.0048372068289528,-14.082951238575074,14,6
v3_edge_ETHUSDT_4h_20260608_191748,v3,ETHUSDT,4h,0.2493224387742133,4.292768375527789,1.9045332074341146,41.035177268010905,40,6
v3_edge_SOLUSDT_4h_20260608_191748,v3,SOLUSDT,4h,0.21071962764237148,3.0086836006523145,1.6323847739112518,29.053418966073707,23,6
v3_wf_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,0.0,0.0,0.0,-1000000,0,6
v3_wf_edge_BTCUSDT_4h_20260608_192533,v3,BTCUSDT,4h,-0.051012321383535675,7.9616597721985585,0.8996462759084078,-33.963410702454965,29,6
family_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-1.0,2.0,0.0,-999998,2,7
family_edge_BTCUSDT_1h_20260608_194104,family:ema_momentum,BTCUSDT,1h,0.03702746487584794,5.72318172797079,1.0469448570324509,-14.506116453302527,37,7
family_edge_BTCUSDT_4h_20260608_193935,family:squeeze_breakout,BTCUSDT,4h,0.4440433894046575,5.0,1.5806671804181183,54.16165295264031,18,7
family_edge_BTCUSDT_4h_20260608_194014,family:channel_breakout,BTCUSDT,4h,-0.2735825394763149,2.468348321659139,0.607993226713719,-999993,7,7
family_edge_ETHUSDT_4h_20260608_194104,family:squeeze_breakout,ETHUSDT,4h,0.24172565043725133,10.463082377190975,1.3526448870601144,8.461647091903465,31,7
family_edge_SOLUSDT_4h_20260608_194104,family:squeeze_breakout,SOLUSDT,4h,0.11545747828675498,1.5752373531554795,1.5673200571110038,20.97467884163128,20,7
family_wf_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-0.23706587653946587,7.424203787927518,0.6417585957538186,-60.26476522789395,22,7
family_wf_edge_BTCUSDT_4h_20260608_194317,family:ema_momentum,BTCUSDT,4h,-0.12432363814109365,4.227003696797183,0.7190215178435843,-37.359563923690516,34,7
family_wf_edge_SOLUSDT_4h_20260608_194416,family:channel_breakout,SOLUSDT,4h,0.0559204369729455,2.8943200549033548,1.2139979139664967,-2.383033368127875,31,7
v3_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,0.21431049437516336,3.558653427884408,1.3602134534445123,23.388180295670715,12,7
v3_edge_BTCUSDT_1h_20260608_191157,v3,BTCUSDT,1h,-0.05232559879747368,6.394823634496683,0.8179095711476081,-28.46214540512235,73,7
v3_edge_BTCUSDT_1h_20260608_191205,v3,BTCUSDT,1h,0.28218311256078515,3.0979502410884443,1.6951612542644794,41.171774253072684,41,7
v3_edge_BTCUSDT_4h_20260608_191322,v3,BTCUSDT,4h,0.21403148805149183,7.610600525970795,1.32965358201195,13.014578363039142,35,7
v3_edge_BTCUSDT_4h_20260608_191403,v3,BTCUSDT,4h,0.8552433903898915,5.240150088072801,2.2582106879899495,124.8983970862991,29,7
v3_edge_BTCUSDT_4h_20260608_191650,v3,BTCUSDT,4h,0.7434492328439435,6.0,2.0298658980871673,100.36518182380468,35,7
v3_edge_BTCUSDT_4h_20260608_191932,v3,BTCUSDT,4h,-0.1903529237312929,12.009078477002207,0.5761723295618183,-67.93590112958886,49,7
v3_edge_BTCUSDT_4h_20260608_192109,v3,BTCUSDT,4h,0.13378811436734328,7.546332999845703,1.1538193981071487,-3.0085455773652114,18,7
v3_edge_ETHUSDT_4h_20260608_191748,v3,ETHUSDT,4h,0.12083871935278415,4.292768375527789,1.3511146410299069,11.050248149524126,46,7
v3_edge_SOLUSDT_4h_20260608_191748,v3,SOLUSDT,4h,0.17814357763193983,3.4182503960792987,1.5106477178609383,21.0777095286561,31,7
v3_wf_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,0.0,0.0,0.0,-1000000,0,7
v3_wf_edge_BTCUSDT_4h_20260608_192533,v3,BTCUSDT,4h,0.017141384156775998,7.961659772198558,1.0109365030249282,-22.43246353141796,33,7
family_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-1.0,1.0,0.0,-999999,1,8
family_edge_BTCUSDT_1h_20260608_194104,family:ema_momentum,BTCUSDT,1h,0.07252251581827536,7.028866186289331,1.1104026770562498,-13.98014106685287,37,8
family_edge_BTCUSDT_4h_20260608_193935,family:squeeze_breakout,BTCUSDT,4h,0.4072856113064796,5.0,1.5127940027002473,47.754185534648286,15,8
family_edge_BTCUSDT_4h_20260608_194014,family:channel_breakout,BTCUSDT,4h,-0.15251296272236733,2.0,0.7614985526930118,-999994,6,8
family_edge_ETHUSDT_4h_20260608_194104,family:squeeze_breakout,ETHUSDT,4h,0.2532855965324146,5.571950587741033,1.3449796339277313,21.06273758799739,26,8
family_edge_SOLUSDT_4h_20260608_194104,family:squeeze_breakout,SOLUSDT,4h,0.1124916070390158,1.9359536084582984,1.54898728359321,17.927696504392493,23,8
family_wf_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-0.07294979988432046,6.6271945024989,0.870140742498187,-31.854485170002974,18,8
family_wf_edge_BTCUSDT_4h_20260608_194317,family:ema_momentum,BTCUSDT,4h,-0.002080972075542275,3.848412889883036,0.9863620890377445,-14.2946620126807,33,8
family_wf_edge_SOLUSDT_4h_20260608_194416,family:channel_breakout,SOLUSDT,4h,0.09416224426572946,2.894320054903355,1.3753724956472586,9.461391540272327,34,8
v3_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,-0.009197697480525317,3.5586534278844084,0.9700623516352159,-999989,11,8
v3_edge_BTCUSDT_1h_20260608_191157,v3,BTCUSDT,1h,-0.0932327319643812,6.52668138619785,0.7183746680096899,-36.4326258955327,65,8
v3_edge_BTCUSDT_1h_20260608_191205,v3,BTCUSDT,1h,0.28440380967810935,3.0979502410884443,1.6868366752743993,41.26067498256291,43,8
v3_edge_BTCUSDT_4h_20260608_191322,v3,BTCUSDT,4h,0.22955576213951226,5.0,1.3498430542465047,20.73848238005271,40,8
v3_edge_BTCUSDT_4h_20260608_191403,v3,BTCUSDT,4h,0.6253131234388354,5.240150088072801,1.8763019147199693,85.84165182418226,31,8
v3_edge_BTCUSDT_4h_20260608_191650,v3,BTCUSDT,4h,0.605363362345588,6.0,1.7484338285692391,75.65964899058817,37,8
v3_edge_BTCUSDT_4h_20260608_191932,v3,BTCUSDT,4h,-0.20176818554479303,13.18437490058199,0.5580377189061949,-72.2057086682384,50,8
v3_edge_BTCUSDT_4h_20260608_192109,v3,BTCUSDT,4h,0.025612948073646093,7.546332999845703,1.0171072493608284,-20.352408765457533,20,8
v3_edge_ETHUSDT_4h_20260608_191748,v3,ETHUSDT,4h,0.15504724243324727,3.8093869887466782,1.503834930314534,20.129405866377603,45,8
v3_edge_SOLUSDT_4h_20260608_191748,v3,SOLUSDT,4h,0.15321256814789563,3.4182503960792996,1.4016671251808877,18.221144071409135,37,8
v3_wf_edge_BTCUSDT_1d_20260608_192634,v3,BTCUSDT,1d,0.0,0.0,0.0,-1000000,0,8
v3_wf_edge_BTCUSDT_4h_20260608_192533,v3,BTCUSDT,4h,-0.13140764001052604,7.77552297336217,0.7752876381263134,-48.52713583306121,37,8
family_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,0.0,0.0,0.0,-1000000,0,9
family_edge_BTCUSDT_1h_20260608_194104,family:ema_momentum,BTCUSDT,1h,-0.1644935436115544,11.481986453414335,0.7035829265202075,-63.46214333984577,43,9
family_edge_BTCUSDT_4h_20260608_193935,family:squeeze_breakout,BTCUSDT,4h,0.30756765775477085,5.0,1.3717460925427747,31.4057017291468,15,9
family_edge_BTCUSDT_4h_20260608_194014,family:channel_breakout,BTCUSDT,4h,-0.4059421277053686,4.0,0.4539321617250048,-999992,8,9
family_edge_ETHUSDT_4h_20260608_194104,family:squeeze_breakout,ETHUSDT,4h,0.2457346309329253,9.0,1.2975757145521696,7.587319170532361,27,9
family_edge_SOLUSDT_4h_20260608_194104,family:squeeze_breakout,SOLUSDT,4h,-0.03182843235152084,2.540948557204191,0.8780741468155326,-18.145813796533307,23,9
family_wf_edge_BTCUSDT_12h_20260608_194342,family:channel_breakout,BTCUSDT,12h,-0.14894354390301714,4.0,0.7605028440661445,-39.11059244980476,14,9
family_wf_edge_BTCUSDT_4h_20260608_194317,family:ema_momentum,BTCUSDT,4h,-0.19363139597861406,6.389836067294263,0.6131917767275755,-56.23515097034654,33,9
family_wf_edge_SOLUSDT_4h_20260608_194416,family:channel_breakout,SOLUSDT,4h,-0.03188588927697141,4.383718761483536,0.8915803729308335,-26.014674178633353,36,9
